,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,LINK,DATA_COLETA
0,60faf0146b65d1ecae4649c5,Cachaça Estância Moretti Carvalho 4 anos 750ml," R$ 399,99 "," Luiz herdou a paixão pela bebida da família Moretti, que veio da Itália e tinha a tradição de trabalhar com bebidas. Mas o amor pelo destilado tipicamente brasileiro veio do pai e do avô, que eram grandes apreciadores da Cachaça, inclusive prezavam sempre por beber uma boa dose juntos. Coincidência ou não desde sempre a Cachaça fez parte de sua vida, sendo através do seu trabalho ou simplesmente degustando e colecionando bons rótulos. “Eu sempre fui muito encantado por Cachaça por ser um produto brasileiro e com uma riqueza de história. Cachaça é sempre bem-vinda numa roda de amigos e pode harmonizar com um bom churrasco.”, afirma Moretti. Mas com o passar dos anos Luiz começou a sentir uma vontade de produzir a sua própria Cachaça, algo que atendesse as características sensoriais que ele procurava. Queria fazer a sua própria Cachaça Artesanal, uma vez que ele era encantado pelo processo de fabricação e pela qualidade fantástica do produto final. Ainda bem que ele tirou o plano do coração, e em 2001 lançou a Cachaça Estância Moretti, que carrega o nome de sua família. “Encantadora e mágica a Cachaça sempre me traz boas e ótimas lembranças.” Atualmente a Cachaça é produzida na Cachaçaria Companheira na cidade de Jandaia do Sul, no Paraná. Por lá o corte e a colheita da cana-de-açúcar utilizada para a fabricação do destilado é feito de forma manual e no inverno, pois é quando a cana está madura. A destilação é feita em alambique de cobre e todo o processo de envelhecimento são feitos em barris de carvalho americano ou francês. Luiz teve o zelo de produzir uma Cachaça com características sensoriais únicas. Uma cachaça onde as lágrimas escorrem no tempo correto e cada gole proporciona ao apreciador uma lembrança marcante e suave ao seu paladar. A Cachaça Estância Moretti não é apenas uma bebida, é uma obra de arte, onde todos os detalhes foram cuidadosamente pensados, desde a produção até a escolha do rótulo, da garrafa e das rolhas, que foram escolhidas para que a Cachaça não evapore e para que a qualidade seja conservada. Te convidamos a degustar esses rótulos e se surpreender com os sabores e aromas! ",Volume: 750ml,,,,4 anos,https://www.araraunacachacaria.com.br/cachaca-estancia-moretti-carvalho-4-anos-750ml,12/07/2021 23:31
1,60faf0146b65d1ecae4649c6,Cachaça Da Várzea 600ml," R$ 39,90 "," A Cachaça Da Várzea é produzida na cidade de Varzelândia/MG. Localizada entre as regiões de Salinas/MG e Januária/MG o terroir dessa região se destaca nas melhores cachaças do Brasil. A Cachaça Da Várzea é envelhecida em toníes de umburana, bálsamo e jequitibá, com teor alcoólico de 42º, com sabor e aromas bastante apreciados pelo Brasil e Exterior. Tem como diferencial o método de produção elaborado com fermentação caipira e utiliza cana-de-açúcar crua produzida na própria fazenda, no Norte de Minas. A Cachaça da Várzea obedece a rigorosos critérios de produção. A água utilizada na produção da Cachaça da Várzea vem do Riacho São Felipe, afluente do Rio São Francisco e sub-afluente da Bacia do Verde Grande, contribuindo para o solo de várzea, bastante propício para o cultivo da cana-de-açúcar. ",Volume: 600ml,,,,,https://www.araraunacachacaria.com.br/cachaca-da-varzea-600ml,12/07/2021 23:31
2,60faf0146b65d1ecae4649c7,Cachaça Orizona Gold Black 750ml," R$ 59,99 "," Orizona Gold Black é destilada em alambiques de cobre, descansada em dornas de inox e envelhecida em barris de carvalho por 6 anos! Um destilado excepcional, de aroma suave e amadeirado, sabor marcante e aveludado com notas de baunilha... apreciem em seus melhores momentos! GOLD BLACK é envasada e garrafa sofisticada e é para aqueles que gostam de um sabor requintado! Aprecie com responsabilidade! Apresentação 750ml ​Origem: Orizona/GO 41% gradação alcoólica ",Volume: 750ml,,,,,https://www.araraunacachacaria.com.br/cachaca-orizona-gold-black-750ml-,12/07/2021 23:31
3,60faf0146b65d1ecae4649c8,Cachaça Salinas Umburana 700ml," R$ 42,99 "," A Cachaça Salinas Tradicional é envelhecida 3 anos em tonéis de Bálsamo, possui coloração clara e sabor suave e amadeirado. Graduação alcoólica: 42% vol. Armazenamento: Bálsamo – 3 anos. Cor: Branco-amarelada, brilhante e límpida. Aroma: Frutado com sutis traços de madeira. Sabor: Leve e macia, com acidez equilibrada. Harmonização: Acompanha petiscos, caldos e pratos à base de frutos do mar. ",Volume: 700ml,,,,,https://www.araraunacachacaria.com.br/cachaca-salinas-umburana-700ml,12/07/2021 23:31
4,60faf0156b65d1ecae4649c9,Cachaça Orizona Ouro 750ml," R$ 69,99 "," Orizona Ouro é uma cachaça pura e de qualidade, envelhecida por 3 anos em barris de carvalho francês. Possui baixa acidez, um sabor adocicado com notas de baunilha e frutas cítricas, além de um aroma suave com um toque amadeirado. Um verdadeiro espetáculo de destilado, aprecie em seus melhores momentos e com responsabilidade!!! Apresentação 750ml 43% gradação alcoólica ​Origem: Orizona/GO ",Volume: 750ml,,,,,https://www.araraunacachacaria.com.br/cachaca-orizona-ouro-750ml,12/07/2021 23:31
5,60faf0156b65d1ecae4649ca,Cachaça Artesanal Fininha Prata 700ml," R$ 49,90 "," A Cachaça Fininha é produzida na Fazenda Capão da Palha em um lindo vale na Chapada dos Veadeiros, nordeste de Goiás. Ela serve de base para as cachaças artesanais Capão da Palha. Possui aroma sensacional, que remete ao caldo de cana puro. Limpidez incrível, sinal de boa filtragem. e um sabor inconfundível. Ideal para doses e drinks. ",Volume: 700ml,,,,,https://www.araraunacachacaria.com.br/cachaca-artesanal-fininha-prata-700ml-2020-12-01-19-42-06,12/07/2021 23:31
6,60faf0156b65d1ecae4649cb,Cachaça Vanderley Azevedo Extra Premium 12 anos 700ml," R$ 309,00 "," Cachaça Artesanal produzida em Ituiutaba-MG pontal do triangulo mineiro destilada por Vanderley Azevedo e Cássio Azevedo. Cachaça Premiada com duas medalhas de prata nos dois maiores concursos de destilado do mundo. Em 2019 ela foi condecorada com a medalha de prata no Spirits Selection e em 2020 recebeu medalha de prata no San Francisco Spirits World Competition. A cachaça Extra Premium Vanderley Azevedo é um single barrel de um barril de carvalho francês, feita com fermento caipira e destilada em alambiques de cobre. Os 12 anos de envelhecimento trouxeram muitas complexidades que você pode conferir na seção análise sensorial feita pelos juízes do Spirits Selection. Análise Sensorial Extra APARÊNCIA: Cor dourada com reflexos verdes. AROMA: Intensidade média no nariz, aromas florais e frutados muito agradáveis, com notas de anis, folhas secas e ervas, pimenta e frutas vermelhas. SABOR: Grande equilíbrio no palato, com persistência elegante da madeira. Notas de frutas vermelhas, caramelo e doce de leite. Notas de ervas medicinais. IMPRESSÃO GERAL: Produto bem feito, com personalidade Elegante e charmosa, sua estrutura e perfil são fortemente marcados por um envelhecimento bem controlado. Um pouco incomum para uma cachaça, uma ótima bebida! Madeira: Carvalho Francês Envelhecimento: 12 anos Graduação Alcoólica: 40% Volume: 750ml Safra: 2007 ",Volume: 700ml,,,,12 anos,https://www.araraunacachacaria.com.br/cachaca-vanderley-azevedo-extra-premium-700ml,12/07/2021 23:32
7,60faf0156b65d1ecae4649cc,Cachaça Cabaré Ouro 700ml," R$ 45,90 "," A Cachaça Cabé Ouro é envelhecida por 6 meses em tonéis de carvalho europeu, possui um sabor suave e macio. OrigemMirassol/SP Volume700ml Teor Alcoólico38.0% MadeiraCarvalho ",700ml,38.0%,Carvalho,Mirassol/SP,,https://www.araraunacachacaria.com.br/cachaca-cabare-ouro-700ml,12/07/2021 23:32
8,60faf0156b65d1ecae4649cd,Cachaça Dom Bré Clássica Jequitibá 700ml," R$ 149,00 "," A marca DOM BRÉ com o seu brasão, remete aos símbolos das famílias tradicionais mineiras, que inspiram princípios éticos e responsáveis por gerações. A Cachaça Dom Bré Clássica Jequitibá traz o aveludado amendoado da superior cachaça de qualidade descansada em tonéis de jequitiba-rosa, que empresta ao produto uma delicadeza que a deixa ótima para ser degustada pura acompanhando todos os pratos da cozinha nacional. Origem: Guarani / MG Madeira: Jequitibá Envelhecimento: 3 anos Grad. Alcoólica: 40% Volume: 750ml ",Volume: 750ml,40%,Jequitibá,Guarani / MG,3 anos,https://www.araraunacachacaria.com.br/cachaca-dom-bre-classica-jequitiba-700ml,12/07/2021 23:32
9,60faf0156b65d1ecae4649ce,Cachaça Vanderley Azevedo Premium Gold Carvalho 2 Anos 700ml," R$ 309,00 "," Essa cachaça é envelhecida por dois anos em Carvalho Francês. Lhe conferindo aromas e sabores especiais A história da cachaça Vanderley Azevedo teve início em 1940, quando meu avô Sergio José de Araujo, em busca de diamantes no Rio Tejuco, firmou residência na cidade de Ituiutaba. Aqui, montou um armazém para atender às demandas do garimpo e dos moradores da cidade. Vanderley Azevedo “Em 1968, fui trabalhar com meu avô no armazém e observava que o caixeiro-viajante deixava alguns tonéis com cachaça e, após 15 dias passava, para pegá-los. Nesse processo, tornei-me o responsável por envasar a cachaça. Em 1984, meu irmão e eu compramos uma fazenda para realizarmos, nós mesmos, nossa própria produção de cachaça. Desde então, destilamos o melaço da cana de açúcar de forma artesanál.” Todo esse processo é feito com a mesma dedicação desde 1984. Em cada gota da Vanderley Azevedo está depositado todo o afeto típico do povo do interior mineiro. Essa cachaça foi medalha de ouro no concurso mundial de Bruxelas em 2019. ",Volume: 700ml,,,,2 Anos,https://www.araraunacachacaria.com.br/cachaca-vanderley-azevedo-premium-gold-700ml,12/07/2021 23:32
