,Palavras,Rotulo,Sentenca
3,NOME,O,2
4,DA,O,2
5,CACHAÇA,O,2
7,Cachaça,O,2
8,Três,B-NOME_BEBIDA,2
9,Coronéis,I-NOME_BEBIDA,2
10,PREÇO,O,3
12,R$,B-PRECO,3
13,35,I-PRECO,3
14,",",I-PRECO,3
15,0,I-PRECO,3
16,DESCRIÇÃO,O,4
17,DA,O,4
18,CACHAÇA,O,4
20,Cachaça,O,4
21,Três,B-NOME_BEBIDA,4
22,Coronéis,I-NOME_BEBIDA,4
23,700ml,B-VOLUME,4
24,Volume,O,5
26,750ml,B-VOLUME,5
27,Graduação,O,6
28,Alcoólica,O,6
30,39,B-GRADUACAO_ALCOOLICA,6
31,",",I-GRADUACAO_ALCOOLICA,6
32,2%,I-GRADUACAO_ALCOOLICA,6
33,RECIPIENTE,O,7
34,DE,O,7
35,ARMAZENAMENTO,O,7
37,Tipo,O,7
38,Barril,O,7
40,Carvalho,B-TIPO_MADEIRA,7
41,Tipo,O,8
43,Envelhecida,O,8
44,Produtor,O,9
46,Glauri,B-NOME_ORGANIZACAO,9
47,Ind,I-NOME_ORGANIZACAO,9
48,Com,I-NOME_ORGANIZACAO,9
49,.,I-NOME_ORGANIZACAO,9
50,Ltda,I-NOME_ORGANIZACAO,9
51,Local,O,10
52,de,O,10
53,Produção,O,10
55,Boituva,B-NOME_LOCAL,10
57,São,B-NOME_LOCAL,10
58,Paulo,I-NOME_LOCAL,10
62,NOME,O,12
63,DA,O,12
64,CACHAÇA,O,12
66,Cachaça,O,12
67,Princesa,B-NOME_BEBIDA,12
68,Isabel,I-NOME_BEBIDA,12
69,Jaqueira,B-TIPO_MADEIRA,12
70,Ouro,B-CLASSIFICACAO_BEBIDA,12
71,PREÇO,O,13
73,R$,B-PRECO,13
74,85,I-PRECO,13
75,",",I-PRECO,13
76,0,I-PRECO,13
77,DESCRIÇÃO,O,14
78,DA,O,14
79,CACHAÇA,O,14
81,Na,O,14
82,beira,O,14
83,do,O,14
84,Rio,O,14
85,Doce,O,14
86,cultivamos,O,14
87,cacau,O,14
88,na,O,14
89,forma,O,14
90,mais,O,14
91,tradicional,O,14
92,e,O,14
93,sustentável,O,14
95,Lá,O,15
97,um,O,15
98,certo,O,15
99,dia,O,15
100,no,O,15
101,ano,O,15
102,de,O,15
